name,current_age,position,type,expiration_status,cap_hit_percentage_at_signing,signing_date
Eric Comrie,25,G,STANDARD CONTRACT,UFA (Group 6),0.86,"September  7, 2019"
Eric Comrie,25,G,ENTRY-LEVEL CONTRACT,RFA,1.09,"December 26, 2013"
Eric Comrie,25,G,STANDARD CONTRACT,RFA,0.82,"September  6, 2018"
Ryan Getzlaf,36,C,STANDARD CONTRACT (EXTENSION),UFA,12.83,"March  8, 2013"
Ryan Getzlaf,36,C,ENTRY-LEVEL CONTRACT,RFA,1.90,"September 15, 2004"
Ryan Getzlaf,36,C,STANDARD CONTRACT (EXTENSION),UFA,10.59,"November 20, 2007"
Adam Henrique,31,C,STANDARD CONTRACT (EXTENSION),UFA,7.33,"July 16, 2018"
Adam Henrique,31,C,ENTRY-LEVEL CONTRACT,RFA,1.05,"November 12, 2009"
Adam Henrique,31,C,STANDARD CONTRACT,UFA,6.22,"August 27, 2013"
Jakob Silfverberg,30,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,6.60,"March  1, 2019"
Jakob Silfverberg,30,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.45,"June 13, 2011"
Jakob Silfverberg,30,"RW, LW",STANDARD CONTRACT,RFA,1.23,"August 14, 2014"
Jakob Silfverberg,30,"RW, LW",STANDARD CONTRACT,UFA,5.14,"August  7, 2015"
David Backes,37,"C, RW",STANDARD CONTRACT,UFA,8.22,"July  1, 2016"
David Backes,37,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.74,"March 15, 2006"
David Backes,37,"C, RW",STANDARD CONTRACT (OFFER SHEET),UFA,4.41,"July  1, 2008"
David Backes,37,"C, RW",STANDARD CONTRACT (EXTENSION),UFA,7.58,"November 12, 2010"
Rickard Rakell,28,"RW, LW",STANDARD CONTRACT,UFA,5.21,"October 14, 2016"
Rickard Rakell,28,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.54,"July  2, 2012"
Danton Heinen,25,"LW, RW",STANDARD CONTRACT,RFA,3.44,"July  9, 2019"
Danton Heinen,25,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.22,"April 11, 2016"
Derek Grant,31,"C, RW",STANDARD CONTRACT,UFA,1.84,"October  9, 2020"
Derek Grant,31,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.02,"April 16, 2011"
Derek Grant,31,"C, RW",STANDARD CONTRACT,UFA,1.01,"July 10, 2014"
Derek Grant,31,"C, RW",STANDARD CONTRACT,UFA (Group 6),0.98,"July  1, 2015"
Derek Grant,31,"C, RW",STANDARD CONTRACT,UFA,0.89,"July  2, 2016"
Derek Grant,31,"C, RW",STANDARD CONTRACT,UFA,0.87,"July  1, 2017"
Derek Grant,31,"C, RW",STANDARD CONTRACT,UFA,0.82,"July 19, 2018"
Derek Grant,31,"C, RW",STANDARD CONTRACT (EXTENSION),UFA,0.88,"June 20, 2019"
Troy Terry,23,"C, RW",STANDARD CONTRACT (EXTENSION),RFA,1.78,"July 14, 2020"
Troy Terry,23,"C, RW",ENTRY-LEVEL CONTRACT,10.2(c),1.23,"March 27, 2018"
Nicolas Deslauriers,30,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,1.23,"February 15, 2020"
Nicolas Deslauriers,30,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.02,"May 31, 2011"
Nicolas Deslauriers,30,"RW, LW",STANDARD CONTRACT (EXTENSION),RFA,0.92,"May 26, 2014"
Nicolas Deslauriers,30,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,1.09,"June 20, 2016"
Nicolas Deslauriers,30,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,1.27,"February 19, 2018"
Isac Lundeström,21,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.16,"August  4, 2018"
Max Jones,23,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.27,"August 26, 2016"
Sam Steel,23,C,ENTRY-LEVEL CONTRACT,RFA,1.27,"December 20, 2016"
Maxime Comtois,22,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.09,"March  3, 2018"
Alexander Volkov,23,"LW, RW",STANDARD CONTRACT,RFA,0.86,"December 23, 2020"
Alexander Volkov,23,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.15,"June 29, 2017"
Cam Fowler,29,LD,STANDARD CONTRACT (EXTENSION),UFA,8.67,"July  1, 2017"
Cam Fowler,29,LD,ENTRY-LEVEL CONTRACT,RFA,1.52,"July 28, 2010"
Cam Fowler,29,LD,STANDARD CONTRACT (EXTENSION),UFA,6.67,"September 15, 2012"
Josh Manson,29,RD,STANDARD CONTRACT (EXTENSION),UFA,5.47,"October  4, 2017"
Josh Manson,29,RD,ENTRY-LEVEL CONTRACT,RFA,1.34,"March 25, 2014"
Josh Manson,29,RD,STANDARD CONTRACT (EXTENSION),RFA,1.13,"July 22, 2015"
Kevin Shattenkirk,32,RD,STANDARD CONTRACT,UFA,4.79,"October  9, 2020"
Kevin Shattenkirk,32,RD,ENTRY-LEVEL CONTRACT,RFA,1.47,"April  3, 2010"
Kevin Shattenkirk,32,RD,STANDARD CONTRACT (EXTENSION),UFA,6.61,"June 26, 2013"
Kevin Shattenkirk,32,RD,STANDARD CONTRACT,UFA,8.87,"July  1, 2017"
Kevin Shattenkirk,32,RD,STANDARD CONTRACT,UFA,2.15,"August  5, 2019"
Haydn Fleury,24,LD/RD,STANDARD CONTRACT,RFA,1.60,"October 27, 2020"
Haydn Fleury,24,LD/RD,ENTRY-LEVEL CONTRACT,RFA,1.34,"August 12, 2014"
Haydn Fleury,24,LD/RD,STANDARD CONTRACT,RFA,1.04,"July 16, 2019"
Jacob Larsson,24,LD,STANDARD CONTRACT (EXTENSION),RFA,1.47,"August  6, 2020"
Jacob Larsson,24,LD,ENTRY-LEVEL CONTRACT,RFA,1.30,"May 18, 2016"
Andy Welinski,28,RD,STANDARD CONTRACT,UFA,0.92,"October 10, 2020"
Andy Welinski,28,RD,ENTRY-LEVEL CONTRACT,RFA,1.30,"April  4, 2016"
Andy Welinski,28,RD,STANDARD CONTRACT,UFA (Group 6),0.87,"July 16, 2018"
Andy Welinski,28,RD,STANDARD CONTRACT,UFA,0.92,"July  1, 2019"
John Gibson,27,G,STANDARD CONTRACT (EXTENSION),UFA,8.05,"August  4, 2018"
John Gibson,27,G,ENTRY-LEVEL CONTRACT,RFA,1.17,"March 15, 2012"
John Gibson,27,G,STANDARD CONTRACT (EXTENSION),RFA,3.22,"September 21, 2015"
Ryan Miller,40,G,35+ CONTRACT,UFA,1.23,"December 23, 2020"
Ryan Miller,40,G,STANDARD CONTRACT,RFA,1.29,"August 12, 2005"
Ryan Miller,40,G,STANDARD CONTRACT,UFA,6.06,"September  8, 2006"
Ryan Miller,40,G,STANDARD CONTRACT (EXTENSION),UFA,11.02,"July 18, 2008"
Ryan Miller,40,G,STANDARD CONTRACT,UFA,8.70,"July  1, 2014"
Ryan Miller,40,G,35+ CONTRACT,UFA,2.67,"July  1, 2017"
Ryan Miller,40,G,35+ CONTRACT (EXTENSION),UFA,1.42,"June 20, 2019"
Anthony Stolarz,27,G,STANDARD CONTRACT,UFA,0.92,"July  2, 2019"
Anthony Stolarz,27,G,STANDARD CONTRACT (EXTENSION),UFA,1.17,"January  6, 2021"
Anthony Stolarz,27,G,ENTRY-LEVEL CONTRACT,RFA,1.22,"March  1, 2013"
Anthony Stolarz,27,G,STANDARD CONTRACT,RFA,0.97,"July 15, 2017"
Anthony Stolarz,27,G,STANDARD CONTRACT,UFA (Group 6),0.96,"July 15, 2018"
Clayton Keller,22,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,8.77,"September  4, 2019"
Clayton Keller,22,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.26,"March 26, 2017"
Phil Kessel,33,RW,STANDARD CONTRACT (EXTENSION),UFA,12.44,"October  1, 2013"
Phil Kessel,33,RW,ENTRY-LEVEL CONTRACT,RFA,1.93,"August 17, 2006"
Phil Kessel,33,RW,STANDARD CONTRACT,UFA,9.51,"September 18, 2009"
Nick Schmaltz,25,C,STANDARD CONTRACT (EXTENSION),UFA,7.36,"March 30, 2019"
Nick Schmaltz,25,C,ENTRY-LEVEL CONTRACT,RFA,1.30,"June 19, 2016"
Christian Dvorak,25,"C, LW",STANDARD CONTRACT (EXTENSION),UFA,5.60,"August  9, 2018"
Christian Dvorak,25,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.19,"April 19, 2015"
Tyler Pitlick,29,RW,STANDARD CONTRACT,UFA,2.15,"October  9, 2020"
Tyler Pitlick,29,RW,ENTRY-LEVEL CONTRACT,RFA,1.50,"April 16, 2011"
Tyler Pitlick,29,RW,STANDARD CONTRACT,RFA,1.05,"July 15, 2014"
Tyler Pitlick,29,RW,STANDARD CONTRACT,RFA,1.04,"July 16, 2015"
Tyler Pitlick,29,RW,STANDARD CONTRACT (EXTENSION),UFA (Group 6),1.02,"June 17, 2016"
Tyler Pitlick,29,RW,STANDARD CONTRACT,UFA,1.33,"July  1, 2017"
Lawson Crouse,23,LW,STANDARD CONTRACT,RFA,1.88,"July  2, 2019"
Lawson Crouse,23,LW,ENTRY-LEVEL CONTRACT,RFA,1.30,"July 15, 2015"
Johan Larsson,28,"C, LW",STANDARD CONTRACT,UFA,1.72,"October 10, 2020"
Johan Larsson,28,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.34,"May 24, 2011"
Johan Larsson,28,"C, LW",STANDARD CONTRACT,RFA,1.10,"July 17, 2015"
Johan Larsson,28,"C, LW",STANDARD CONTRACT (EXTENSION),RFA,1.30,"April 29, 2016"
Johan Larsson,28,"C, LW",STANDARD CONTRACT,RFA,1.97,"July  8, 2017"
Johan Larsson,28,"C, LW",STANDARD CONTRACT,UFA,1.90,"July 12, 2019"
Christian Fischer,24,"RW, LW",STANDARD CONTRACT,RFA,1.23,"October 19, 2020"
Christian Fischer,24,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.24,"August 20, 2015"
Derick Brassard,33,"LW, C",STANDARD CONTRACT,UFA,1.23,"December 30, 2020"
Derick Brassard,33,"LW, C",ENTRY-LEVEL CONTRACT,RFA,1.87,"September 21, 2006"
Derick Brassard,33,"LW, C",STANDARD CONTRACT (EXTENSION),RFA,5.63,"September  4, 2009"
Derick Brassard,33,"LW, C",STANDARD CONTRACT,UFA,7.25,"July 27, 2014"
Derick Brassard,33,"LW, C",STANDARD CONTRACT,UFA,1.47,"August 21, 2019"
Conor Garland,25,"LW, RW",STANDARD CONTRACT (EXTENSION),RFA,0.97,"February 27, 2019"
Conor Garland,25,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,0.97,"December 23, 2015"
Dryden Hunt,25,"LW, RW",STANDARD CONTRACT,RFA,0.92,"October 10, 2020"
Dryden Hunt,25,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.13,"March  2, 2016"
Dryden Hunt,25,"LW, RW",STANDARD CONTRACT,UFA (No QO),0.88,"July 17, 2019"
John Hayden,26,"C, RW",STANDARD CONTRACT,RFA,0.92,"October  9, 2020"
John Hayden,26,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.27,"March 12, 2017"
John Hayden,26,"C, RW",STANDARD CONTRACT (EXTENSION),UFA (No QO),1.00,"June 15, 2018"
Hudson Fasching,25,RW,STANDARD CONTRACT,UFA (Group 6),0.90,"July  4, 2019"
Hudson Fasching,25,RW,ENTRY-LEVEL CONTRACT,10.2(c),1.30,"March 21, 2016"
Hudson Fasching,25,RW,STANDARD CONTRACT,RFA,1.10,"July 14, 2018"
Michael Bunting,25,LW,STANDARD CONTRACT,UFA (Group 6),0.90,"July  5, 2019"
Michael Bunting,25,LW,ENTRY-LEVEL CONTRACT,RFA,0.97,"July 23, 2015"
Michael Bunting,25,LW,STANDARD CONTRACT,RFA,0.90,"July 14, 2018"
Lane Pederson,23,C,STANDARD CONTRACT (EXTENSION),RFA,0.90,"August 15, 2020"
Lane Pederson,23,C,ENTRY-LEVEL CONTRACT,RFA,0.90,"October 13, 2016"
Oliver Ekman-Larsson,29,LD,STANDARD CONTRACT (EXTENSION),UFA,10.38,"July  1, 2018"
Oliver Ekman-Larsson,29,LD,ENTRY-LEVEL CONTRACT,RFA,1.58,"May 24, 2010"
Oliver Ekman-Larsson,29,LD,STANDARD CONTRACT (EXTENSION),UFA,8.55,"March 15, 2013"
Alex Goligoski,35,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,7.50,"June 21, 2016"
Alex Goligoski,35,LD/RD,ENTRY-LEVEL CONTRACT,RFA,1.68,"July 10, 2007"
Alex Goligoski,35,LD/RD,STANDARD CONTRACT (EXTENSION),RFA,3.23,"June 19, 2009"
Alex Goligoski,35,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,7.15,"January 23, 2012"
Niklas Hjalmarsson,34,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,6.29,"July  1, 2018"
Niklas Hjalmarsson,34,LD/RD,ENTRY-LEVEL CONTRACT,RFA,1.46,"May 31, 2007"
Niklas Hjalmarsson,34,LD/RD,STANDARD CONTRACT (OFFER SHEET),UFA,5.89,"July 19, 2010"
Niklas Hjalmarsson,34,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,6.38,"September  4, 2013"
Jakob Chychrun,23,LD,STANDARD CONTRACT (EXTENSION),UFA,5.79,"November 13, 2018"
Jakob Chychrun,23,LD,ENTRY-LEVEL CONTRACT,RFA,1.27,"July 30, 2016"
Jason Demers,33,RD,STANDARD CONTRACT,UFA,6.16,"July  2, 2016"
Jason Demers,33,RD,ENTRY-LEVEL CONTRACT,RFA,0.96,"September 29, 2008"
Jason Demers,33,RD,STANDARD CONTRACT (EXTENSION),RFA,2.10,"July 30, 2010"
Jason Demers,33,RD,STANDARD CONTRACT (EXTENSION),RFA,2.33,"June 27, 2013"
Jason Demers,33,RD,STANDARD CONTRACT,UFA,4.93,"July 17, 2014"
Jordan Oesterle,28,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,1.76,"February 20, 2019"
Jordan Oesterle,28,LD/RD,ENTRY-LEVEL CONTRACT,RFA,1.11,"March 31, 2014"
Jordan Oesterle,28,LD/RD,STANDARD CONTRACT (EXTENSION),UFA (Group 6),0.82,"June 20, 2016"
Jordan Oesterle,28,LD/RD,STANDARD CONTRACT,UFA,0.87,"July  1, 2017"
Ilya Lyubushkin,27,RD,STANDARD CONTRACT (EXTENSION),UFA,1.23,"October  5, 2020"
Ilya Lyubushkin,27,RD,STANDARD CONTRACT (EXTENSION),UFA,1.66,"April 19, 2021"
Ilya Lyubushkin,27,RD,ENTRY-LEVEL CONTRACT,RFA,1.23,"May 23, 2018"
Ilya Lyubushkin,27,RD,STANDARD CONTRACT (EXTENSION),RFA,1.10,"June 14, 2019"
Aaron Ness,31,LD,STANDARD CONTRACT,UFA,0.89,"July  1, 2019"
Aaron Ness,31,LD,ENTRY-LEVEL CONTRACT,RFA,1.33,"March 16, 2011"
Aaron Ness,31,LD,STANDARD CONTRACT,UFA (Group 6),1.20,"July 11, 2014"
Aaron Ness,31,LD,STANDARD CONTRACT,UFA (Group 6),0.81,"July  1, 2015"
Aaron Ness,31,LD,STANDARD CONTRACT (EXTENSION),UFA,0.84,"June 24, 2016"
Aaron Ness,31,LD,STANDARD CONTRACT (EXTENSION),UFA,0.87,"May 15, 2018"
Darcy Kuemper,31,G,STANDARD CONTRACT (EXTENSION),UFA,5.52,"October  2, 2019"
Darcy Kuemper,31,G,ENTRY-LEVEL CONTRACT,RFA,1.21,"May 26, 2011"
Darcy Kuemper,31,G,STANDARD CONTRACT,RFA,1.81,"September 20, 2014"
Darcy Kuemper,31,G,STANDARD CONTRACT,UFA,2.12,"July  5, 2016"
Darcy Kuemper,31,G,STANDARD CONTRACT,UFA,0.87,"July  1, 2017"
Darcy Kuemper,31,G,STANDARD CONTRACT (EXTENSION),UFA,2.47,"February 21, 2018"
Antti Raanta,32,G,STANDARD CONTRACT (EXTENSION),UFA,5.67,"April  6, 2018"
Antti Raanta,32,G,ENTRY-LEVEL CONTRACT,RFA,1.44,"June  3, 2013"
Antti Raanta,32,G,STANDARD CONTRACT (EXTENSION),UFA,1.09,"June 27, 2014"
Antti Raanta,32,G,STANDARD CONTRACT (EXTENSION),UFA,1.40,"May  2, 2016"
Adin Hill,25,G,STANDARD CONTRACT (EXTENSION),RFA,0.98,"September 15, 2020"
Adin Hill,25,G,ENTRY-LEVEL CONTRACT,RFA,1.02,"April  5, 2016"
Adin Hill,25,G,STANDARD CONTRACT,RFA,0.87,"August  3, 2019"
Mikko Rantanen,24,RW,STANDARD CONTRACT,UFA,11.35,"September 28, 2019"
Mikko Rantanen,24,RW,ENTRY-LEVEL CONTRACT,RFA,1.30,"July 14, 2015"
Nathan MacKinnon,25,"C, RW",STANDARD CONTRACT,UFA,8.63,"July  8, 2016"
Nathan MacKinnon,25,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.44,"July  9, 2013"
Gabriel Landeskog,28,"LW, C",STANDARD CONTRACT (EXTENSION),UFA,8.66,"August 16, 2013"
Gabriel Landeskog,28,"LW, C",ENTRY-LEVEL CONTRACT,RFA,1.44,"July 28, 2011"
Brandon Saad,28,"RW, LW",STANDARD CONTRACT,UFA,8.22,"July  3, 2015"
Brandon Saad,28,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.24,"October  5, 2011"
André Burakovsky,26,"LW, RW",STANDARD CONTRACT,UFA,6.01,"October 10, 2020"
André Burakovsky,26,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.44,"September  8, 2013"
André Burakovsky,26,"LW, RW",STANDARD CONTRACT,RFA,4.00,"July  4, 2017"
André Burakovsky,26,"LW, RW",STANDARD CONTRACT,RFA,3.99,"July 15, 2019"
Nazem Kadri,30,C,STANDARD CONTRACT (EXTENSION),UFA,6.30,"April 13, 2016"
Nazem Kadri,30,C,ENTRY-LEVEL CONTRACT,RFA,1.58,"July  6, 2009"
Nazem Kadri,30,C,STANDARD CONTRACT,RFA,4.51,"September 10, 2013"
Nazem Kadri,30,C,STANDARD CONTRACT,RFA,5.62,"July  5, 2015"
Joonas Donskoi,29,RW,STANDARD CONTRACT,UFA,4.79,"July  1, 2019"
Joonas Donskoi,29,RW,ENTRY-LEVEL CONTRACT,RFA,1.34,"May 19, 2015"
Joonas Donskoi,29,RW,STANDARD CONTRACT (EXTENSION),UFA,2.60,"May 12, 2017"
J.T. Compher,26,"RW, C",STANDARD CONTRACT,UFA,4.29,"July 17, 2019"
J.T. Compher,26,"RW, C",ENTRY-LEVEL CONTRACT,RFA,1.30,"April 25, 2016"
Valeri Nichushkin,26,"LW, RW",STANDARD CONTRACT,UFA,3.07,"October 10, 2020"
Valeri Nichushkin,26,"LW, RW",ENTRY-LEVEL CONTRACT,10.2(c),1.44,"July  6, 2013"
Valeri Nichushkin,26,"LW, RW",STANDARD CONTRACT,RFA,3.71,"July  1, 2018"
Valeri Nichushkin,26,"LW, RW",STANDARD CONTRACT,RFA,1.04,"August 19, 2019"
Pierre-Édouard Bellemare,36,"C, LW",STANDARD CONTRACT,UFA,2.21,"July  1, 2019"
Pierre-Édouard Bellemare,36,"C, LW",STANDARD CONTRACT (EXTENSION),UFA,0.93,"June 18, 2014"
Pierre-Édouard Bellemare,36,"C, LW",STANDARD CONTRACT (EXTENSION),UFA,1.03,"March  2, 2015"
Pierre-Édouard Bellemare,36,"C, LW",STANDARD CONTRACT (EXTENSION),UFA,1.99,"March  1, 2017"
Carl Söderberg,35,"C, LW",STANDARD CONTRACT,UFA,1.23,"December 26, 2020"
Carl Söderberg,35,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.74,"June  1, 2006"
Carl Söderberg,35,"C, LW",STANDARD CONTRACT,UFA,1.57,"April 13, 2013"
Carl Söderberg,35,"C, LW",STANDARD CONTRACT (EXTENSION),UFA,6.51,"June 26, 2015"
Sampo Ranta,21,LW,ENTRY-LEVEL CONTRACT,RFA,1.14,"April  4, 2021"
Alex Newhook,20,C,ENTRY-LEVEL CONTRACT,RFA,1.11,"March 31, 2021"
Tyson Jost,23,"C, LW, RW",STANDARD CONTRACT,RFA,1.07,"October 18, 2020"
Tyson Jost,23,"C, LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.26,"March 29, 2017"
Martin Kaut,21,RW,ENTRY-LEVEL CONTRACT,RFA,1.09,"July  5, 2018"
Kiefer Sherwood,26,"RW, C",STANDARD CONTRACT,RFA,0.92,"October  9, 2020"
Kiefer Sherwood,26,"RW, C",ENTRY-LEVEL CONTRACT,UFA (No QO),1.23,"March 20, 2018"
Logan O'Connor,24,RW,STANDARD CONTRACT (EXTENSION),RFA,0.89,"September 18, 2020"
Logan O'Connor,24,RW,ENTRY-LEVEL CONTRACT,RFA,1.16,"July 23, 2018"
Miikka Salomäki,28,"LW, RW",STANDARD CONTRACT,UFA,0.86,"October  9, 2020"
Miikka Salomäki,28,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.21,"April 24, 2013"
Miikka Salomäki,28,"LW, RW",STANDARD CONTRACT (EXTENSION),RFA,0.86,"March  1, 2016"
Miikka Salomäki,28,"LW, RW",STANDARD CONTRACT,UFA,0.94,"July 30, 2018"
Jayson Megna,31,RW,STANDARD CONTRACT,UFA,0.86,"October 10, 2020"
Jayson Megna,31,RW,ENTRY-LEVEL CONTRACT,RFA,1.54,"August  1, 2012"
Jayson Megna,31,RW,STANDARD CONTRACT,UFA,1.27,"July 10, 2014"
Jayson Megna,31,RW,STANDARD CONTRACT,UFA (Group 6),0.84,"July  2, 2015"
Jayson Megna,31,RW,STANDARD CONTRACT,UFA,0.82,"July  1, 2016"
Jayson Megna,31,RW,STANDARD CONTRACT (EXTENSION),UFA,0.92,"April  2, 2017"
Jayson Megna,31,RW,STANDARD CONTRACT,UFA,0.82,"July  1, 2018"
Jayson Megna,31,RW,STANDARD CONTRACT,UFA,0.86,"July  1, 2019"
Samuel Girard,23,LD,STANDARD CONTRACT (EXTENSION),UFA,6.14,"July 31, 2019"
Samuel Girard,23,LD,ENTRY-LEVEL CONTRACT,RFA,0.98,"September 29, 2016"
Devon Toews,27,LD,STANDARD CONTRACT,UFA,5.03,"October 27, 2020"
Devon Toews,27,LD,ENTRY-LEVEL CONTRACT,RFA,1.30,"April 15, 2016"
Devon Toews,27,LD,STANDARD CONTRACT,RFA,0.88,"July 16, 2018"
Ryan Graves,26,LD,STANDARD CONTRACT,UFA,3.89,"October 12, 2020"
Ryan Graves,26,LD,ENTRY-LEVEL CONTRACT,RFA,1.03,"March 17, 2014"
Ryan Graves,26,LD,STANDARD CONTRACT,RFA,0.82,"July 16, 2018"
Ryan Graves,26,LD,STANDARD CONTRACT,RFA,0.90,"July  8, 2019"
Patrik Nemeth,29,LD,STANDARD CONTRACT,UFA,3.68,"July  1, 2019"
Patrik Nemeth,29,LD,ENTRY-LEVEL CONTRACT,RFA,1.34,"April 21, 2011"
Patrik Nemeth,29,LD,STANDARD CONTRACT (EXTENSION),RFA,1.23,"June 17, 2015"
Patrik Nemeth,29,LD,STANDARD CONTRACT,RFA,1.26,"July  1, 2017"
Patrik Nemeth,29,LD,STANDARD CONTRACT,UFA,3.14,"August  1, 2018"
Conor Timmins,22,RD,ENTRY-LEVEL CONTRACT,RFA,1.23,"March  2, 2018"
Dennis Gilbert,24,LD,ENTRY-LEVEL CONTRACT,RFA,1.23,"April 13, 2018"
Bowen Byram,20,LD,ENTRY-LEVEL CONTRACT,RFA,1.10,"July 19, 2019"
Cale Makar,22,RD,ENTRY-LEVEL CONTRACT,RFA,1.11,"April 14, 2019"
Keaton Middleton,23,LD,ENTRY-LEVEL CONTRACT,RFA,0.91,"March 30, 2021"
Jacob MacDonald,28,LD,STANDARD CONTRACT (EXTENSION),UFA,0.89,"March 27, 2020"
Jacob MacDonald,28,LD,STANDARD CONTRACT,UFA,0.94,"July  2, 2018"
Daniel Renouf,27,LD,STANDARD CONTRACT,UFA,0.86,"July  1, 2019"
Daniel Renouf,27,LD,ENTRY-LEVEL CONTRACT,UFA (No QO),1.07,"March 10, 2016"
Daniel Renouf,27,LD,STANDARD CONTRACT,UFA (Group 6),0.82,"July  2, 2018"
Kyle Burroughs,25,RD,STANDARD CONTRACT,UFA (Group 6),0.86,"October 30, 2020"
Kyle Burroughs,25,RD,ENTRY-LEVEL CONTRACT,RFA,0.91,"April  8, 2015"
Kyle Burroughs,25,RD,STANDARD CONTRACT,RFA,0.85,"July 16, 2018"
Philipp Grubauer,29,G,STANDARD CONTRACT (EXTENSION),UFA,4.19,"June 23, 2018"
Philipp Grubauer,29,G,ENTRY-LEVEL CONTRACT,RFA,1.03,"October  4, 2010"
Philipp Grubauer,29,G,STANDARD CONTRACT (EXTENSION),RFA,1.03,"June 15, 2015"
Philipp Grubauer,29,G,STANDARD CONTRACT,RFA,2.00,"July  6, 2017"
Devan Dubnyk,35,G,STANDARD CONTRACT (EXTENSION),UFA,6.07,"June 27, 2015"
Devan Dubnyk,35,G,STANDARD CONTRACT,RFA,1.23,"July 16, 2009"
Devan Dubnyk,35,G,STANDARD CONTRACT,RFA,1.35,"July 13, 2010"
Devan Dubnyk,35,G,STANDARD CONTRACT,UFA,5.83,"July  5, 2012"
Devan Dubnyk,35,G,STANDARD CONTRACT,UFA,1.16,"July  1, 2014"
Justus Annunen,21,G,ENTRY-LEVEL CONTRACT,RFA,1.08,"April 30, 2020"
Adam Werner,24,G,ENTRY-LEVEL CONTRACT,RFA,1.06,"May 13, 2019"
Jonas Johansson,25,G,STANDARD CONTRACT (EXTENSION),UFA (Group 6),0.86,"October  7, 2020"
Jonas Johansson,25,G,ENTRY-LEVEL CONTRACT,RFA,1.04,"May 31, 2017"
Anze Kopitar,33,C,STANDARD CONTRACT (EXTENSION),UFA,14.01,"January 16, 2016"
Anze Kopitar,33,C,ENTRY-LEVEL CONTRACT,RFA,2.18,"September  6, 2005"
Anze Kopitar,33,C,STANDARD CONTRACT (EXTENSION),UFA,11.99,"October 11, 2008"
Dustin Brown,36,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,9.14,"July 18, 2013"
Dustin Brown,36,"RW, LW",STANDARD CONTRACT,RFA,2.67,"September 17, 2006"
Dustin Brown,36,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,6.31,"October 26, 2007"
Alex Iafallo,27,"LW, C",STANDARD CONTRACT,UFA,2.98,"July 10, 2019"
Alex Iafallo,27,"LW, C",STANDARD CONTRACT (EXTENSION),UFA,4.91,"April 12, 2021"
Alex Iafallo,27,"LW, C",ENTRY-LEVEL CONTRACT,RFA,1.27,"April 18, 2017"
Adrian Kempe,24,"LW, RW",STANDARD CONTRACT,RFA,2.45,"September  4, 2019"
Adrian Kempe,24,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.34,"April 15, 2015"
Brendan Lemieux,25,"LW, RW",STANDARD CONTRACT,RFA,1.90,"November  6, 2020"
Brendan Lemieux,25,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.22,"July  3, 2015"
Brendan Lemieux,25,"LW, RW",STANDARD CONTRACT,RFA,1.14,"September 12, 2019"
Andreas Athanasiou,26,"C, LW, RW",STANDARD CONTRACT,RFA,1.47,"December 28, 2020"
Andreas Athanasiou,26,"C, LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.01,"November 15, 2013"
Andreas Athanasiou,26,"C, LW, RW",STANDARD CONTRACT,RFA,1.85,"October 23, 2017"
Andreas Athanasiou,26,"C, LW, RW",STANDARD CONTRACT,UFA (No QO),3.77,"July  5, 2018"
Austin Wagner,23,"RW, LW",STANDARD CONTRACT (EXTENSION),RFA,1.39,"September  1, 2020"
