name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Dylan DeMelo,0.0089,2016-07-11,24.0,0,0,0,0,1,2.0,0.0,0.0,2.0,0.0,0.0,0.62,0.0,0.0,0.55,0.0,0.0,0.0476,0.0476,0.0476
Dylan Gambrell,0.0086,2019-07-11,23.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.4,0.0,0.46,0.47,0.0,0.0,0.0,0.0
Dylan Larkin,0.0767,2018-08-10,22.0,0,1,1,1,0,16.0,17.0,23.0,47.0,15.0,22.0,0.47,0.51,0.52,0.51,0.53,0.57,0.069,0.069,0.069
Dylan Strome,0.0368,2021-01-03,24.0,0,0,1,1,0,9.0,12.0,20.0,8.0,26.0,36.0,0.53,0.51,0.52,0.53,0.54,0.55,0.1268,0.1268,0.1268
Elias Lindholm,0.061,2018-07-16,24.0,0,1,1,1,0,16.0,11.0,11.0,28.0,34.0,28.0,0.56,0.59,0.57,0.56,0.56,0.58,0.1046,0.1046,0.1046
Elias Lindholm,0.0378,2015-08-27,21.0,0,0,1,1,0,17.0,9.0,0.0,22.0,12.0,0.0,0.58,0.54,0.0,0.6,0.56,0.0,0.1,0.1,0.1
Eric Staal,0.0409,2019-02-25,34.0,1,1,1,0,0,22.0,42.0,28.0,29.0,34.0,37.0,0.58,0.57,0.6,0.57,0.51,0.54,0.1038,0.1038,0.1038
Eric Staal,0.0479,2016-07-01,32.0,1,1,1,0,0,13.0,22.0,21.0,26.0,31.0,40.0,0.59,0.61,0.55,0.6,0.62,0.57,0.0653,0.0653,0.0653
Erik Cernak,0.0362,2020-12-22,24.0,0,0,0,0,1,5.0,5.0,0.0,6.0,11.0,0.0,0.45,0.52,0.0,0.44,0.46,0.0,0.04,0.04,0.04
Erik Gudbranson,0.0533,2018-02-20,26.0,1,1,0,0,1,2.0,1.0,2.0,3.0,5.0,7.0,0.38,0.38,0.37,0.4,0.43,0.4,0.0377,0.0377,0.0377
Erik Gudbranson,0.0479,2017-06-15,25.0,0,1,0,0,1,1.0,2.0,4.0,5.0,7.0,9.0,0.38,0.37,0.46,0.43,0.4,0.47,0.025,0.025,0.025
Erik Gudbranson,0.0479,2016-05-09,24.0,0,0,0,0,1,2.0,4.0,3.0,7.0,9.0,6.0,0.37,0.46,0.45,0.4,0.47,0.48,0.0274,0.0274,0.0274
Erik Gudbranson,0.0362,2014-07-10,23.0,0,0,0,0,1,3.0,0.0,2.0,6.0,4.0,6.0,0.45,0.4,0.44,0.48,0.45,0.49,0.0326,0.0326,0.0326
Erik Gustafsson,0.0368,2020-10-12,29.0,1,1,0,0,1,6.0,17.0,5.0,23.0,42.0,11.0,0.49,0.5,0.56,0.54,0.55,0.58,0.0583,0.0583,0.0583
Erik Gustafsson,0.016,2018-03-06,26.0,0,1,0,0,1,5.0,0.0,0.0,11.0,0.0,14.0,0.56,0.0,0.55,0.58,0.0,0.57,0.0704,0.0704,0.0704
Erik Gustafsson,0.0087,2017-07-14,26.0,0,0,0,0,1,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.55,0.0,0.0,0.57,0.0,0.0,0.0,0.0
Erik Haula,0.0215,2020-12-23,30.0,1,1,1,1,0,12.0,2.0,29.0,12.0,5.0,26.0,0.54,0.61,0.55,0.54,0.66,0.54,0.1304,0.1304,0.1304
Erik Haula,0.036699999999999997,2017-06-21,27.0,0,1,1,1,0,15.0,14.0,7.0,11.0,20.0,7.0,0.51,0.41,0.45,0.49,0.4,0.43,0.1119,0.1119,0.1119
Erik Haula,0.013999999999999999,2015-08-02,25.0,0,0,1,1,0,7.0,6.0,0.0,7.0,9.0,0.0,0.45,0.41,0.0,0.43,0.45,0.0,0.0761,0.0761,0.0761
Erik Karlsson,0.1447,2019-06-17,30.0,1,1,0,0,1,3.0,9.0,17.0,42.0,53.0,54.0,0.58,0.5,0.56,0.6,0.54,0.53,0.0178,0.0178,0.0178
Erik Karlsson,0.1011,2012-06-19,23.0,0,1,0,0,1,19.0,13.0,5.0,59.0,32.0,21.0,0.59,0.51,0.6,0.6,0.54,0.59,0.0728,0.0728,0.0728
Esa Lindell,0.073,2019-05-16,25.0,0,1,0,0,1,11.0,7.0,6.0,21.0,20.0,12.0,0.44,0.54,0.44,0.42,0.51,0.47,0.0833,0.0833,0.0833
Esa Lindell,0.029300000000000003,2017-06-26,24.0,0,0,0,0,1,6.0,0.0,0.0,12.0,0.0,0.0,0.44,0.49,0.0,0.47,0.5,0.0,0.0606,0.0606,0.0606
Ethan Bear,0.0245,2020-12-29,23.0,0,0,0,0,1,5.0,0.0,1.0,16.0,0.0,3.0,0.46,0.0,0.43,0.47,0.0,0.47,0.0505,0.0505,0.0505
Evan Rodrigues,0.0086,2020-10-09,27.0,0,1,1,1,0,6.0,9.0,7.0,4.0,20.0,18.0,0.47,0.49,0.48,0.5,0.51,0.55,0.08,0.08,0.08
Evan Rodrigues,0.0245,2019-07-25,26.0,0,0,1,1,0,9.0,7.0,4.0,20.0,18.0,2.0,0.49,0.48,0.42,0.51,0.55,0.45,0.0539,0.0539,0.0539
Evan Rodrigues,0.0087,2017-07-27,24.0,0,0,1,1,0,4.0,1.0,0.0,2.0,1.0,0.0,0.42,0.62,0.0,0.45,0.74,0.0,0.0784,0.0784,0.0784
Evander Kane,0.0933,2018-05-24,26.0,1,1,0,1,0,29.0,28.0,20.0,25.0,15.0,15.0,0.52,0.46,0.52,0.55,0.49,0.54,0.0942,0.0942,0.0942
Evander Kane,0.0875,2012-09-15,21.0,0,1,0,1,0,30.0,19.0,14.0,27.0,24.0,12.0,0.6,0.51,0.4,0.57,0.53,0.46,0.1045,0.1045,0.1045
Evgeni Dadonov,0.061399999999999996,2020-10-15,32.0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evgeni Dadonov,0.0533,2017-07-01,29.0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evgeni Malkin,0.1477,2013-07-01,27.0,1,1,1,0,0,9.0,50.0,15.0,24.0,59.0,22.0,0.7,0.65,0.69,0.65,0.65,0.66,0.0909,0.0909,0.0909
Evgeny Kuznetsov,0.10400000000000001,2017-07-02,26.0,0,1,1,0,0,19.0,20.0,11.0,40.0,57.0,26.0,0.54,0.62,0.55,0.57,0.58,0.54,0.1138,0.1138,0.1138
Evgeny Kuznetsov,0.042,2015-07-06,24.0,0,0,1,0,0,11.0,3.0,0.0,26.0,6.0,0.0,0.55,0.46,0.0,0.54,0.45,0.0,0.0866,0.0866,0.0866
Evgeny Svechnikov,0.010700000000000001,2020-08-09,24.0,0,0,0,1,0,0.0,0.0,2.0,0.0,0.0,2.0,0.46,0.0,0.4,0.48,0.0,0.49,0.0,0.0,0.0
Filip Forsberg,0.08220000000000001,2016-06-27,22.0,0,1,0,1,0,33.0,26.0,1.0,31.0,37.0,4.0,0.6,0.6,0.59,0.57,0.62,0.53,0.1336,0.1336,0.1336
Frank Vatrano,0.0319,2019-02-23,25.0,0,1,0,1,0,24.0,7.0,10.0,15.0,3.0,8.0,0.55,0.55,0.6,0.54,0.56,0.61,0.1159,0.1159,0.1159
Frank Vatrano,0.0116,2018-06-29,25.0,0,0,0,1,0,7.0,10.0,8.0,3.0,8.0,3.0,0.55,0.6,0.51,0.56,0.61,0.51,0.0972,0.0972,0.0972
Frans Nielsen,0.0719,2016-07-01,33.0,1,1,1,1,0,20.0,14.0,25.0,32.0,29.0,33.0,0.54,0.55,0.58,0.54,0.54,0.55,0.1105,0.1105,0.1105
Frans Nielsen,0.042800000000000005,2012-02-06,28.0,1,1,1,1,0,17.0,13.0,11.0,30.0,31.0,26.0,0.5,0.52,0.53,0.51,0.49,0.54,0.1278,0.1278,0.1278
Fredrik Claesson,0.0086,2021-01-10,28.0,1,1,0,0,1,0.0,1.0,2.0,0.0,1.0,4.0,0.46,0.54,0.45,0.44,0.42,0.46,0.0,0.0,0.0
Fredrik Claesson,0.0086,2019-09-17,27.0,0,1,0,0,1,2.0,1.0,3.0,4.0,6.0,8.0,0.45,0.43,0.52,0.46,0.44,0.53,0.0455,0.0455,0.0455
Fredrik Claesson,0.0088,2018-07-01,26.0,0,0,0,0,1,1.0,3.0,0.0,6.0,8.0,2.0,0.43,0.52,0.47,0.44,0.53,0.46,0.0167,0.0167,0.0167
Fredrik Claesson,0.0089,2017-02-20,24.0,0,0,0,0,1,3.0,0.0,0.0,8.0,2.0,0.0,0.52,0.47,0.0,0.53,0.46,0.0,0.12,0.12,0.12
Fredrik Claesson,0.0096,2016-07-06,24.0,0,0,0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.47,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0
Fredrik Claesson,0.008199999999999999,2015-06-11,22.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frédérick Gaudreau,0.0086,2020-10-10,28.0,1,1,1,0,0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.6,0.38,0.0,0.55,0.46,0.0,0.0,0.0
Frédérick Gaudreau,0.0089,2017-07-17,25.0,0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.59,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Gabriel Carlsson,0.0089,2020-10-16,24.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.45,0.32,0.55,0.43,0.43,0.47,0.0,0.0,0.0
Gabriel Landeskog,0.0866,2013-08-16,21.0,0,1,1,1,0,9.0,22.0,0.0,8.0,30.0,0.0,0.51,0.56,0.0,0.52,0.57,0.0,0.0826,0.0826,0.0826
Garnet Hathaway,0.0184,2019-07-01,28.0,1,1,0,1,0,11.0,4.0,1.0,8.0,9.0,4.0,0.43,0.52,0.44,0.45,0.51,0.45,0.1447,0.1447,0.1447
Garnet Hathaway,0.010700000000000001,2018-07-30,27.0,0,1,0,1,0,4.0,1.0,0.0,9.0,4.0,3.0,0.52,0.44,0.49,0.51,0.45,0.47,0.0588,0.0588,0.0588
Garnet Hathaway,0.0087,2017-07-20,26.0,0,0,0,1,0,1.0,0.0,0.0,4.0,3.0,0.0,0.44,0.49,0.0,0.45,0.47,0.0,0.0455,0.0455,0.0455
Gaëtan Haas,0.011200000000000002,2020-04-28,28.0,1,1,1,0,0,5.0,0.0,0.0,5.0,0.0,0.0,0.49,0.0,0.0,0.5,0.0,0.0,0.0926,0.0926,0.0926
Gemel Smith,0.0086,2020-10-07,27.0,0,1,1,0,0,1.0,2.0,6.0,0.0,1.0,5.0,0.49,0.39,0.57,0.28,0.36,0.54,1.0,1.0,1.0
Gemel Smith,0.0086,2019-07-07,26.0,0,0,1,0,0,2.0,6.0,3.0,1.0,5.0,3.0,0.39,0.57,0.48,0.36,0.54,0.45,0.1429,0.1429,0.1429
Gemel Smith,0.0091,2018-08-03,25.0,0,0,1,0,0,6.0,3.0,0.0,5.0,3.0,0.0,0.57,0.48,0.0,0.54,0.45,0.0,0.1429,0.1429,0.1429
Gemel Smith,0.0087,2017-07-11,24.0,0,0,1,0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.48,0.0,0.0,0.45,0.0,0.0,0.1579,0.1579,0.1579
Glenn Gawdin,0.0086,2020-10-14,24.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Hutton,0.0089,2020-10-12,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg McKegg,0.0086,2020-10-14,28.0,1,1,1,1,0,5.0,6.0,2.0,4.0,5.0,2.0,0.4,0.49,0.43,0.38,0.5,0.45,0.1282,0.1282,0.1282
Greg McKegg,0.0092,2019-07-01,27.0,1,1,1,1,0,6.0,2.0,3.0,5.0,2.0,4.0,0.49,0.43,0.4,0.5,0.45,0.41,0.2222,0.2222,0.2222
Greg McKegg,0.009000000000000001,2018-07-11,26.0,0,1,1,1,0,2.0,3.0,2.0,2.0,4.0,0.0,0.43,0.4,0.43,0.45,0.41,0.43,0.0952,0.0952,0.0952
Greg McKegg,0.0087,2017-07-01,25.0,0,0,1,1,0,3.0,2.0,0.0,4.0,0.0,0.0,0.4,0.43,0.24,0.41,0.43,0.34,0.0857,0.0857,0.0857
Greg McKegg,0.0096,2016-06-28,24.0,0,0,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.43,0.24,1.0,0.43,0.34,1.0,0.1429,0.1429,0.1429
Greg McKegg,0.0098,2015-07-08,23.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0.0,0.34,1.0,0.0,0.0,0.0,0.0
Gregory Hofmann,0.011000000000000001,2021-06-13,28.0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustav Forsling,0.0086,2020-10-23,25.0,0,0,0,0,1,0.0,3.0,3.0,0.0,6.0,10.0,0.0,0.41,0.4,0.0,0.46,0.47,0.0,0.0,0.0
Gustav Forsling,0.010700000000000001,2019-07-15,24.0,0,0,0,0,1,3.0,3.0,2.0,6.0,10.0,3.0,0.41,0.4,0.46,0.46,0.47,0.5,0.0526,0.0526,0.0526
Haydn Fleury,0.016,2020-10-27,24.0,0,0,0,0,1,4.0,0.0,0.0,10.0,1.0,8.0,0.48,0.62,0.45,0.52,0.51,0.5,0.0606,0.0606,0.0606
Haydn Fleury,0.0104,2019-07-16,23.0,0,0,0,0,1,0.0,0.0,0.0,1.0,8.0,0.0,0.62,0.45,0.0,0.51,0.5,0.0,0.0,0.0,0.0
Hudson Fasching,0.009000000000000001,2019-07-04,24.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37,0.46,0.0,0.57,0.49,0.0,0.0,0.0
Hudson Fasching,0.011000000000000001,2018-07-14,23.0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,0.37,0.46,0.49,0.57,0.49,0.52,0.0,0.0,0.0
Ian Cole,0.0535,2018-07-01,30.0,1,1,0,0,1,5.0,5.0,0.0,15.0,21.0,12.0,0.44,0.44,0.46,0.46,0.45,0.45,0.0595,0.0595,0.0595
Ian Cole,0.0294,2015-06-29,27.0,0,1,0,0,1,5.0,3.0,0.0,12.0,8.0,1.0,0.55,0.52,0.48,0.55,0.48,0.52,0.0602,0.0602,0.0602
Ian Cole,0.0128,2013-05-28,24.0,0,0,0,0,1,0.0,1.0,1.0,1.0,5.0,3.0,0.48,0.53,0.48,0.52,0.55,0.5,0.0,0.0,0.0
Ilya Lyubushkin,0.0166,2021-04-19,27.0,1,1,0,0,1,1.0,0.0,0.0,1.0,4.0,4.0,0.45,0.57,0.48,0.46,0.49,0.46,0.0278,0.0278,0.0278
Ilya Lyubushkin,0.0123,2020-10-05,27.0,0,1,0,0,1,0.0,0.0,0.0,4.0,4.0,0.0,0.57,0.48,0.0,0.49,0.46,0.0,0.0,0.0,0.0
Ilya Lyubushkin,0.011000000000000001,2019-06-14,25.0,0,0,0,0,1,0.0,0.0,0.0,4.0,0.0,0.0,0.48,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0
Ilya Mikheyev,0.0202,2020-10-20,26.0,0,1,0,1,0,8.0,0.0,0.0,15.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0833,0.0833,0.0833
Ivan Barbashev,0.0181,2019-09-01,24.0,0,0,1,1,0,14.0,7.0,5.0,11.0,6.0,7.0,0.43,0.48,0.56,0.45,0.5,0.52,0.2333,0.2333,0.2333
Ivan Provorov,0.0828,2019-09-12,23.0,0,1,0,0,1,7.0,17.0,6.0,18.0,24.0,24.0,0.45,0.47,0.45,0.45,0.47,0.47,0.0479,0.0479,0.0479
J.T. Compher,0.0429,2019-07-17,25.0,0,1,1,1,0,16.0,13.0,3.0,17.0,10.0,2.0,0.5,0.45,0.52,0.5,0.49,0.5,0.1356,0.1356,0.1356
J.T. Miller,0.066,2018-06-26,26.0,0,1,1,1,0,23.0,22.0,22.0,35.0,34.0,21.0,0.53,0.47,0.52,0.53,0.46,0.53,0.1608,0.1608,0.1608
J.T. Miller,0.0377,2016-07-13,24.0,0,0,1,1,0,22.0,10.0,3.0,21.0,13.0,3.0,0.52,0.54,0.53,0.53,0.53,0.55,0.163,0.163,0.163
J.T. Miller,0.012,2015-07-15,23.0,0,0,1,1,0,10.0,3.0,2.0,13.0,3.0,2.0,0.54,0.53,0.54,0.53,0.55,0.53,0.1087,0.1087,0.1087
Jaccob Slavin,0.0707,2017-07-12,24.0,0,1,0,0,1,5.0,2.0,0.0,29.0,18.0,0.0,0.51,0.51,0.0,0.5,0.5,0.0,0.0505,0.0505,0.0505
Jack Roslovic,0.0226,2021-01-23,24.0,0,0,1,1,0,12.0,12.0,9.0,22.0,17.0,15.0,0.49,0.51,0.53,0.52,0.54,0.52,0.1412,0.1412,0.1412
Jacob De La Rose,0.0086,2020-09-10,26.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob De La Rose,0.0113,2018-07-05,24.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.0,0.0,0.37,0.0,0.0,0.0
Jacob De La Rose,0.0097,2017-06-28,23.0,0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.0,0.0,0.37,0.0,0.0,0.0,0.0
Jacob Larsson,0.0147,2020-08-06,24.0,0,0,0,0,1,2.0,0.0,0.0,9.0,5.0,0.0,0.42,0.44,0.0,0.42,0.45,0.0,0.0345,0.0345,0.0345
Jacob MacDonald,0.0089,2020-03-27,27.0,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.58,0.0,0.0,0.0,0.0
Jacob MacDonald,0.009399999999999999,2018-07-02,26.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Trouba,0.09820000000000001,2019-07-19,26.0,0,1,0,0,1,8.0,3.0,8.0,42.0,21.0,25.0,0.47,0.52,0.51,0.48,0.48,0.47,0.0494,0.0494,0.0494
Jacob Trouba,0.0692,2018-07-22,25.0,0,0,0,0,1,3.0,8.0,6.0,21.0,25.0,15.0,0.52,0.51,0.47,0.48,0.47,0.47,0.0208,0.0208,0.0208
Jacob Trouba,0.0385,2016-11-07,23.0,0,0,0,0,1,6.0,7.0,10.0,15.0,15.0,19.0,0.47,0.48,0.45,0.47,0.51,0.48,0.0451,0.0451,0.0451
Jaden Schwartz,0.0733,2016-07-15,24.0,0,1,0,1,0,8.0,28.0,25.0,14.0,35.0,31.0,0.61,0.58,0.58,0.55,0.55,0.57,0.127,0.127,0.127
Jaden Schwartz,0.0341,2014-10-05,22.0,0,0,0,1,0,25.0,7.0,2.0,31.0,6.0,1.0,0.58,0.51,0.62,0.57,0.51,0.48,0.133,0.133,0.133
Jake DeBrusk,0.0451,2020-11-23,24.0,0,0,0,1,0,19.0,27.0,16.0,16.0,14.0,27.0,0.59,0.57,0.56,0.58,0.6,0.58,0.118,0.118,0.118
Jake Evans,0.0092,2020-09-23,25.0,0,0,1,1,0,2.0,0.0,0.0,1.0,0.0,0.0,0.43,0.0,0.0,0.47,0.0,0.0,0.1429,0.1429,0.1429
Jake Gardiner,0.049699999999999994,2019-09-06,29.0,1,1,0,0,1,3.0,5.0,9.0,28.0,47.0,34.0,0.55,0.57,0.58,0.55,0.54,0.56,0.0385,0.0385,0.0385
Jake Gardiner,0.0587,2014-07-29,24.0,0,1,0,0,1,10.0,0.0,7.0,21.0,4.0,23.0,0.48,0.5,0.48,0.5,0.52,0.5,0.0735,0.0735,0.0735
Jake Guentzel,0.0755,2018-12-27,24.0,0,1,0,1,0,22.0,16.0,0.0,26.0,17.0,0.0,0.52,0.56,0.0,0.57,0.54,0.0,0.1287,0.1287,0.1287
Jake Muzzin,0.069,2020-02-24,31.0,1,1,0,0,1,6.0,9.0,8.0,17.0,29.0,34.0,0.5,0.49,0.49,0.48,0.5,0.52,0.0606,0.0606,0.0606
Jake Muzzin,0.057999999999999996,2014-10-16,26.0,0,1,0,0,1,5.0,7.0,0.0,19.0,9.0,0.0,0.61,0.67,0.0,0.64,0.68,0.0,0.0286,0.0286,0.0286
Jake Muzzin,0.015600000000000001,2013-07-12,25.0,0,0,0,0,1,7.0,0.0,0.0,9.0,0.0,1.0,0.67,0.0,0.4,0.68,0.0,0.53,0.0909,0.0909,0.0909
Jake Muzzin,0.0096,2012-07-18,24.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.53,0.0,0.0,0.0,0.0
Jake Virtanen,0.0313,2020-10-22,24.0,0,0,0,1,0,18.0,16.0,10.0,17.0,9.0,10.0,0.51,0.48,0.49,0.51,0.51,0.5,0.1208,0.1208,0.1208
Jake Virtanen,0.015700000000000002,2018-07-25,22.0,0,0,0,1,0,10.0,0.0,7.0,10.0,1.0,6.0,0.49,0.42,0.51,0.5,0.45,0.53,0.0769,0.0769,0.0769
Jake Walman,0.0089,2020-11-19,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0
Jakob Chychrun,0.0579,2018-11-13,21.0,0,1,0,0,1,4.0,7.0,0.0,10.0,13.0,0.0,0.52,0.42,0.0,0.51,0.44,0.0,0.0392,0.0392,0.0392
Jakob Silfverberg,0.066,2019-03-01,28.0,1,1,0,1,0,24.0,17.0,23.0,19.0,23.0,26.0,0.47,0.51,0.53,0.48,0.49,0.51,0.1472,0.1472,0.1472
Jakob Silfverberg,0.051399999999999994,2015-08-07,25.0,0,1,0,1,0,13.0,10.0,10.0,26.0,13.0,9.0,0.51,0.52,0.55,0.5,0.52,0.54,0.0688,0.0688,0.0688
Jakob Silfverberg,0.0123,2014-08-14,24.0,0,0,0,1,0,10.0,10.0,0.0,13.0,9.0,0.0,0.52,0.55,0.0,0.52,0.54,0.0,0.084,0.084,0.084
Jakub Voracek,0.1155,2015-07-30,26.0,1,1,0,1,0,22.0,23.0,22.0,59.0,39.0,24.0,0.6,0.66,0.63,0.62,0.63,0.61,0.0995,0.0995,0.0995
Jakub Voracek,0.0708,2012-07-26,23.0,0,1,0,1,0,18.0,14.0,15.0,31.0,32.0,34.0,0.66,0.58,0.57,0.61,0.6,0.55,0.0947,0.0947,0.0947
Jakub Voracek,0.035,2011-07-01,22.0,0,0,0,1,0,14.0,15.0,9.0,32.0,34.0,29.0,0.58,0.57,0.58,0.6,0.55,0.59,0.0765,0.0765,0.0765
Jakub Vrána,0.041100000000000005,2019-07-16,24.0,0,0,0,1,0,24.0,13.0,3.0,23.0,14.0,3.0,0.52,0.55,0.63,0.52,0.52,0.61,0.1491,0.1491,0.1491
Jakub Zboril,0.0089,2020-10-14,24.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.57,0.0,0.0,0.0,0.0
Jalen Chatfield,0.0086,2020-12-09,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Neal,0.0723,2018-07-02,31.0,1,1,0,1,0,25.0,23.0,31.0,19.0,18.0,27.0,0.57,0.59,0.65,0.56,0.58,0.6,0.1238,0.1238,0.1238
James Neal,0.0833,2012-02-19,24.0,0,1,0,1,0,40.0,22.0,27.0,41.0,23.0,28.0,0.66,0.59,0.55,0.65,0.58,0.53,0.1216,0.1216,0.1216
James van Riemsdyk,0.08810000000000001,2018-07-01,30.0,1,1,0,1,0,36.0,29.0,14.0,18.0,33.0,15.0,0.67,0.6,0.65,0.62,0.58,0.62,0.1452,0.1452,0.1452
James van Riemsdyk,0.0661,2011-08-30,23.0,0,1,0,1,0,21.0,15.0,0.0,19.0,20.0,0.0,0.57,0.61,0.0,0.52,0.57,0.0,0.1214,0.1214,0.1214
Jamie Benn,0.1301,2016-07-15,27.0,1,1,1,1,0,41.0,35.0,34.0,48.0,52.0,45.0,0.59,0.56,0.61,0.57,0.57,0.59,0.166,0.166,0.166
Jamie Benn,0.0816,2013-01-24,23.0,0,1,1,1,0,12.0,26.0,22.0,21.0,37.0,34.0,0.57,0.57,0.51,0.56,0.55,0.51,0.1091,0.1091,0.1091
Jamie Oleksiak,0.0269,2018-07-12,26.0,0,1,0,0,1,5.0,5.0,0.0,12.0,2.0,2.0,0.47,0.44,0.56,0.47,0.47,0.49,0.0617,0.0617,0.0617
Jamie Oleksiak,0.0129,2017-08-04,25.0,0,0,0,0,1,5.0,0.0,1.0,2.0,2.0,7.0,0.44,0.56,0.4,0.47,0.49,0.47,0.1515,0.1515,0.1515
Jamie Oleksiak,0.0126,2016-07-12,24.0,0,0,0,0,1,0.0,1.0,0.0,2.0,7.0,0.0,0.56,0.4,0.48,0.49,0.47,0.44,0.0,0.0,0.0
Jamie Oleksiak,0.012,2015-07-09,23.0,0,0,0,0,1,1.0,0.0,0.0,7.0,0.0,2.0,0.4,0.48,0.37,0.47,0.44,0.48,0.0278,0.0278,0.0278
Jan Rutta,0.016,2020-12-22,30.0,1,1,0,0,1,1.0,2.0,6.0,6.0,6.0,14.0,0.5,0.43,0.41,0.49,0.48,0.46,0.0233,0.0233,0.0233
Jan Rutta,0.016399999999999998,2019-05-03,28.0,1,1,0,0,1,2.0,6.0,0.0,6.0,14.0,0.0,0.43,0.41,0.0,0.48,0.46,0.0,0.0476,0.0476,0.0476
Jan Rutta,0.03,2018-03-08,27.0,1,1,0,0,1,6.0,0.0,0.0,14.0,0.0,0.0,0.41,0.0,0.0,0.46,0.0,0.0,0.0845,0.0845,0.0845
Jani Hakanpää,0.0092,2020-05-05,28.0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0
Jani Hakanpää,0.0104,2019-07-03,28.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jansen Harkins,0.0089,2020-10-27,24.0,0,0,1,1,0,2.0,0.0,0.0,4.0,0.0,0.0,0.45,0.0,0.0,0.49,0.0,0.0,0.069,0.069,0.069
Jared McCann,0.0361,2020-09-18,25.0,0,0,1,1,0,14.0,19.0,9.0,21.0,16.0,19.0,0.55,0.47,0.51,0.52,0.48,0.49,0.0933,0.0933,0.0933
Jared McCann,0.015700000000000002,2018-07-01,23.0,0,0,1,1,0,9.0,1.0,9.0,19.0,6.0,9.0,0.51,0.51,0.43,0.49,0.54,0.5,0.0634,0.0634,0.0634
Jared Spurgeon,0.0929,2019-09-14,30.0,1,1,0,0,1,14.0,9.0,10.0,29.0,28.0,28.0,0.54,0.56,0.58,0.51,0.5,0.51,0.0921,0.0921,0.0921
Jared Spurgeon,0.0727,2015-12-21,26.0,0,1,0,0,1,9.0,5.0,5.0,16.0,21.0,10.0,0.56,0.53,0.66,0.52,0.51,0.55,0.0703,0.0703,0.0703
