name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Conor Sheary,0.009000000000000001,2020-12-22,29.0,1,1,0,1,0,10.0,14.0,18.0,13.0,20.0,12.0,0.51,0.52,0.54,0.53,0.55,0.54,0.098,0.098,0.098
Conor Sheary,0.04,2017-07-30,26.0,0,1,0,1,0,23.0,7.0,0.0,30.0,3.0,0.0,0.59,0.63,0.0,0.56,0.59,0.0,0.1474,0.1474,0.1474
Corey Perry,0.0092,2020-12-28,36.0,1,1,0,1,0,5.0,6.0,17.0,17.0,4.0,32.0,0.59,0.52,0.57,0.55,0.52,0.54,0.0658,0.0658,0.0658
Corey Perry,0.0184,2019-07-01,35.0,1,1,0,1,0,6.0,17.0,19.0,4.0,32.0,34.0,0.52,0.57,0.63,0.52,0.54,0.58,0.1,0.1,0.1
Corey Perry,0.1341,2013-03-18,28.0,1,1,0,1,0,15.0,37.0,50.0,21.0,23.0,48.0,0.6,0.59,0.56,0.55,0.59,0.52,0.1172,0.1172,0.1172
Craig Smith,0.038,2020-10-10,31.0,1,1,1,1,0,18.0,21.0,25.0,13.0,17.0,26.0,0.61,0.55,0.61,0.6,0.58,0.61,0.0978,0.0978,0.0978
Craig Smith,0.059500000000000004,2015-07-20,26.0,0,1,1,1,0,23.0,24.0,4.0,21.0,28.0,8.0,0.59,0.58,0.57,0.61,0.55,0.51,0.0916,0.0916,0.0916
Craig Smith,0.0333,2012-09-14,23.0,0,0,1,1,0,14.0,0.0,0.0,22.0,0.0,0.0,0.55,0.0,0.0,0.53,0.0,0.0,0.0814,0.0814,0.0814
Curtis Lazar,0.0098,2020-09-24,26.0,0,1,1,1,0,5.0,0.0,2.0,5.0,0.0,10.0,0.41,0.46,0.53,0.39,0.56,0.5,0.1515,0.1515,0.1515
Curtis Lazar,0.0086,2019-07-01,25.0,0,0,1,1,0,0.0,2.0,1.0,0.0,10.0,3.0,0.46,0.53,0.41,0.56,0.5,0.4,0.0,0.0,0.0
Curtis Lazar,0.0127,2017-07-14,23.0,0,0,1,1,0,1.0,6.0,6.0,3.0,14.0,9.0,0.41,0.41,0.52,0.4,0.41,0.49,0.0385,0.0385,0.0385
Cédric Paquette,0.0202,2019-07-05,26.0,0,1,1,1,0,13.0,5.0,4.0,4.0,4.0,6.0,0.43,0.43,0.42,0.4,0.47,0.44,0.1512,0.1512,0.1512
Cédric Paquette,0.0126,2018-07-05,25.0,0,0,1,1,0,5.0,4.0,6.0,4.0,6.0,5.0,0.43,0.42,0.44,0.47,0.44,0.45,0.0781,0.0781,0.0781
